Title,Description
Coming to The Rescue,Got a unique problem? Not to worry: you can find a financial planner for every specialized need
The New Customers Are In Town,"Today's customers are increasingly demanding, in Asia as elsewhere in the world.  Henry Astorga describes the complex reality faced by today's marketers, which includes much higher expectations than we have been used to.  Today's customers want performance, and they want it now! "
"Barrel of Monkeys, 2004 Edition: Notes on Philippine Elections","Well, it's election time in the Republic of the Philippines, and that means the monkeys are rolling around in those political barrels, having as much fun as they can while laughing their heads off at the strange goings-on that characterize a democratic process loosely based on the American model  but that de facto looks more like a Fellini movie crossed with a Tom and Jerry cartoon - column includes a useful election-year glossary!"
Oldsmobile: The final parking lot,"Why General Motors dropped the Oldsmobile. The four brand  paradoxes GM had to face - the name, the product, image re-positioning, and the consumer - all added up to a brand that had little hope of rebranding."
"Not All Jobs Belong To The White Man: Asian Minorities, Affirmative Action, And The Quest For Parity At Work","Although a smattering of Chinese, Filipinos, Japanese, Indians, Thais, and others may crow about seeing their kind sitting in prominent positions in corporations and organizations in the USA, these accomplishments become mere cultural high-fives and ritualistic chest-thumping goaded and impishly patronized by 'mainstream society' - the milder and gentler term for the white-dominated populace."
"Downhome Pinoy Blues, Intersecting Life Paths, and Heartbreak Songs","The Blues is alive and well in the Philippines, as evidenced by this appreciation of the Pinoy Blues band 'Lampano Alley', penned by columnist Clarence Henderson as a counterpoint to his usual economics, business, and culture fare."
The Real Time Modern Manila Blues: Bill Monroe Meets Muddy Waters in the Orient,"Globalization does strange things to people. A day in the life of a Manila Philippines based business consultant - proving that you really CAN talk about Muddy Walters, bluegrass and work all on the same page..."
Best Asian Tourism Destinations,"The new APMF survey of the best Asian tourism destinations has just kicked off, but it's crowded at the top, with Chiang Mai in Thailand just leading from perennial favourites Hong Kong, Bangkok and Phuket in Thailand, and Bali in  Indonesia. Be one of the first to vote and let us know your reasons."
What are the best cities for business in Asia?,"One of our new categories in the APMF Sense of Place survey is for best Asian business city. After a couple of days, Singapore leads the pack, followed by Bangkok, Thailand and Hong Kong. Enter your vote and comments and make your views count. More new categories include best city for livability, and best tourism destinations."
IT alligator tales,"I grew up in New York, where giant alligators -- sometimes more ornately described as albino alligators -- were rumored to roam the citys sewer systems. According to legend, vacationers picked up the tiny crocodilians in Florida, brought them home to New York, and eventually flushed the little buggers when they grew too big for the local concrete jungle."
IT Myth 5: Most IT projects fail,"Do most IT projects fail? Some point to the number of giant consultancies such as IBM Global Services, Capgemini, and Sapient, who feed off bad experiences encountered by enterprises. Sapient is a company founded on the realization that IT projects are not successful, says Sapient CTO Ben Gaucherin."
BEA grabs CA exec to head product group,BEA Systems Inc. has hired the Computer Associates International Inc. executive responsible for CA's Unicenter line of enterprise management software to head BEA's product development group.
Autodesk tackles project collaboration,"Autodesk  this week unwrapped an updated version of its hosted project collaboration service targeted at the construction and manufacturing industries. Autodesk Buzzsaw lets multiple, dispersed project participants -- including building owners, developers, architects, construction teams, and facility managers -- share and manage data throughout the life of a project, according to Autodesk officials."
U.K.'s NHS taps Gartner to help plan \$9B IT overhaul,"LONDON -- The U.K.'s National Health Service (NHS) has tapped IT researcher Gartner Inc. to provide market intelligence services as the health organization forges ahead with a mammoth, 5 billion (\$9.2 billion) project to upgrade its information technology infrastructure."
Play Boys: Google IPO a Go Anyway,"Even though Google's two founders gave an interview to Playboy magazine in the midst of its IPO filing, the SEC allowed the company's offering to go ahead. The boys filed the interview with the SEC and corrected mistakes in it."
More Big Boobs in Playboy,An interview with Google's co-founders due out in the current issue of Playboy may delay the company's IPO. Securities regulations restrict what executives can say while preparing to sell stock for the first time.
Dutch Firm Beats Apple to Punch,A music retailer from the Netherlands beats Apple by launching a download service in Europe's latest market battleground. Also: Movie industry wrests agreement from defunct company.... Microsoft challenges Photoshop   hellip;. and more.
HP to Buy Synstar,Hewlett-Packard will pay \$297 million for the British company. Also: TiVo goes all out to attract customers   hellip;. Sprint offers service guarantees for business wireless subscribers   hellip;. and more.
A Personal Operator From Verizon,"Verizon plans to offer a service that would act as a virtual switchboard operator, letting customers stay in touch at all times. The program would send phone calls, voicemails and e-mails wherever customers designate. By Elisa Batista."
Paid Search Growth May Slow,A new Internet advertising forecast shows a slowdown in paid search listings in the next five years. Will the projection affect Google's prospects when it goes public?
Fark Sells Out. France Surrenders,"Blogs are the hottest thing on the Net, but are they messing with traditional publishing principles? One of the most popular, Fark.com, is allegedly selling links. Is it the wave of the future? By Daniel Terdiman."
Strategies for a Sideways Market (Reuters),"Reuters - The bulls and the bears are in this\together, scratching their heads and wondering what's going to\happen next."
Art Looks Like Fine Investment for Funds (Reuters),Reuters - Some mutual funds invest in stocks;\others invest in bonds. Now a new breed of funds is offering\the chance to own fine art.
Oil and Economy Cloud Stocks' Outlook (Reuters),Reuters - Soaring crude prices plus worries\about the economy and the outlook for earnings are expected to\hang over the stock market this week during the depth of the\summer doldrums.
Strategies for a Sideways Market," WASHINGTON (Reuters) - The bulls and the bears are in this  together, scratching their heads and wondering what's going to  happen next."
Art Looks Like Fine Investment for Funds, NEW YORK (Reuters) - Some mutual funds invest in stocks;  others invest in bonds. Now a new breed of funds is offering  the chance to own fine art.
Oil and Economy Cloud Stocks' Outlook, NEW YORK (Reuters) - Soaring crude prices plus worries  about the economy and the outlook for earnings are expected to  hang over the stock market this week during the depth of the  summer doldrums.
Funds: Are Bond Funds Hazardous?, (Clint Willis is a freelance writer who covers mutual funds  for Reuters. Any opinions in the column are solely those of Mr.  Willis.)
Shippers: Venezuela Oil Unfazed by Poll," CARACAS, Venezuela (Reuters) - Oil exports by Venezuela  have not been disturbed by the referendum on the rule of  President Hugo Chavez, shipping sources said late Sunday."
Shippers: Venezuela Oil Unfazed by Poll (Reuters),"Reuters - Oil exports by Venezuela\have not been disturbed by the referendum on the rule of\President Hugo Chavez, shipping sources said late Sunday."
Dollar Falls to Fresh Low Vs Euro (Reuters),Reuters - The dollar fell to a fresh four-week low\versus the euro on Monday after a widening of the U.S. trade\gap to record levels raised worries about capital inflows in\the United States and a possible slowdown in the economy.
Nikkei Falls Over 1 Pct on Oil Worries, TOKYO (Reuters) - Tokyo's Nikkei fell more than one percent  by mid-morning on Monday as investors stepped up selling of  exporters such as Toyota Motor Corp. amid growing fears of the  impact of surging oil prices on the global economy.
The Region's Highest-Paid Executives,"Pay for the Washington area's top executives rose significantly last year, reversing the downward trend that set in with the recession in 2001."
"As XM Stock Recovered, Executives' Pay Modest","Thanks to the SEC, shareholders now get a long-term picture of how their stock is doing, which helps in evaluating executive pay."
Lucrative Cash Package Came as Fairchild Reported \$53.2 Million Loss," For Jeffrey J. Steiner, chairman and chief executive of Fairchild Corp., nearly \$2.5 million in salary last year was just the beginning."
"Board Members, Executives and Family Members Can Still Benefit", Many of Corporate Washington's executives and board members have side deals with the companies they oversee.
"Survey Estimates Values of Options, Excludes Exercises",Figuring out how much executives get paid can be like predicting the weather -- an inexact science.
Government Spending Up Sharply Locally," Federal procurement spending in the Washington area rose last year at its highest rate since the 1980s, according to a study to be released today, creating tens of thousands of jobs and increasing economic growth disproportionately in Northern Virginia."
Nikkei Falls Over 1 Pct on Oil Worries (Reuters),Reuters - Tokyo's Nikkei fell more than one percent\by mid-morning on Monday as investors stepped up selling of\exporters such as Toyota Motor Corp. amid growing fears of the\impact of surging oil prices on the global economy.
Nikkei Down at Midday on Oil Worries," TOKYO (Reuters) - Tokyo's Nikkei fell 1.66 percent by  midday on Monday, extending losses into a third day as growing  fears about the impact of surging oil prices on the global  economy hit exporters such as Toyota Motor Corp."
Caterpillar Union Rejects Contract Offer," CHICAGO (Reuters) - United Auto Workers (UAW) said its  members at Caterpillar Inc on Sunday voted to reject the  construction equipment maker's contract proposal, the second  time this year workers have voted against a Caterpillar  contract offer."
NYMEX Crude Hits Record \$46.76, SINGAPORE (Reuters) - NYMEX crude oil futures &lt;CLc1&gt; hit a  new record of \$46.76 on Monday on worries about possible unrest  and disruption to oil supply as Venezuelans voted in a  referendum on whether to recall President Hugo Chavez.
Caterpillar Union Rejects Contract Offer," CHICAGO (Reuters) - The main union at Caterpillar Inc. said  its members voted on Sunday to reject the construction  equipment maker's contract proposal, the second time this year  the workers have voted against an offer."
GM's Made-In-China Cadillacs in Early '05," SHANGHAI (Reuters) - General Motors, the world's largest  automaker, will start selling its first made-in-China Cadillacs  in early 2005 in a market it expects eventually to account for  a fifth of global sales of the luxury brand."
Wal-Mart Tries to Shine Its Image by Supporting Public Broadcasting,"Wal-Mart, stung by criticism of its business tactics, is working to improve its image by supporting public broadcasting."
Muddling Through (or Not): Mid-2004 Update on the Philippines,"Looks like the Philippines, despite itself, has survived the election without excessive violence, major civil unrest, or untoward People Power eruptions. GMA finally has that elusive electoral mandate, and the air of uncertainty that pervaded Manila in the weeks leading up to the election has given way to (for some) an air of cautious optimism or (for others) resignation that nothing ever changes much in the Philippines and that the strong leadership and fundamental changes needed to save the country are long shots."
"In Google's Auction, It's Not Easy to Tell a Bid From a Bet","In a competition combining suspense and strategy, countless brave souls are hoping to buy a small piece of Google in an auction this week."
Nikkei Hits 3-Mth Closing Low," TOKYO (Reuters) - Tokyo's Nikkei average fell 0.65 percent  to a fresh three-month closing low on Monday as crude oil  prices again hit record highs in Asian trading hours, clouding  the outlook for the global economy."
Stocks Fall as Oil Hits High, SINGAPORE (Reuters) - Exporters led a fall in Asian shares  on Monday as oil prices set new highs near \$47 and data showing  the U.S. trade deficit widened to a record raised fresh concern  about the health of the world's largest economy.
Stocks Fall as Oil Hits High (Reuters),Reuters - Exporters led a fall in Asian shares\on Monday as oil prices set new highs near  #36;47 and data showing\the U.S. trade deficit widened to a record raised fresh concern\about the health of the world's largest economy.
Iranian economic reform falters,The Iranian parliament votes against key parts of a reform plan aimed at opening the economy to foreign investment.
Space-age sport ,"GPS is invading recreational sports. Under clear skies, those signals beaming to earth from satellites can find you on a hilly running trail, in a kayak on the ocean, or on a green fairway where you're trying to fade a 230-yard drive into the wind."
Eyes tired? Musical alerts ease computer user #146;s day,"What was the last sound your computer made? It may have emitted a chime when e-mail arrived, or a heraldic swish when you started up Windows."
"As money-raisers, 2004 #146;s initial offerings fall short","When Inhibitex Inc. set the terms of its initial public offering in March, it thought it was being conservative, expecting shares to sell for \$10 to \$12 apiece."
Internet publishing attracting academics,BALTIMORE -- Manuel Llinas knew his career was at stake. The young scientist had just finished work on an eye-catching paper on the genome of a parasite that causes malaria. Now he and his lab director faced a critical decision: where to submit the article for publication.
Computers with multiple personalities,"The jury's still out on whether a computer can ever truly be intelligent, but there's no question that it can have multiple personalities. It's just a matter of software."
Oil Prices Hit Record (Reuters),Reuters - Oil prices jumped to a new record\high near  #36;47 on Monday with traders on tenterhooks for the\result of Venezuela's weekend referendum and Iraq's exports\again disrupted by a Shi'ite uprising in the south.
Swatch tax complaint dismissed,US officials dismiss claims of tax evasion levelled at watchmaker Swatch by two former employees.
Small firms struggle as oil soars,"Small manufacturers in the UK are struggling in the face of soaring oil prices and higher interest rates, the CBI says."
Microsoft takes down SP2 swappers,Microsoft is stopping people getting hold of a key security update via net-based file- sharing systems.
Europe and US in aircraft aid row,The European Commission and President George Bush are in a war of words over subsidies given to aircraft makers Airbus and Boeing.
Lowe's Second-Quarter Profit Rises (Reuters),"Reuters - Lowe's Cos. (LOW.N), the second-largest\home improvement retailer behind Home Depot Inc. (HD.N), on\Monday said quarterly profit rose, but trailed estimates."
Stocks Seen Little Changed; Oil Weighs," NEW YORK (Reuters) - Stocks are seen opening little changed  on Monday as crude prices remain high, but insurers may dip on  worries about their potential liabilities after a hurricane  struck Florida on Friday."
Lowe's Second-Quarter Profit Rises," ATLANTA (Reuters) - Lowe's Cos. &lt;LOW.N&gt;, the second-largest  home improvement retailer behind Home Depot Inc. &lt;HD.N&gt;, on  Monday said quarterly profit rose, but trailed estimates."
Oil Prices Hold Near Record, LONDON (Reuters) - Oil prices simmered near fresh highs  Monday even though early reports of victory for Venezuelan  President Hugo Chavez in a referendum on his rule eased fears  that unrest could upset the country's oil exports.
BA workers approve holiday strike,"British Airways workers plan to strike for 24 hours during the August Bank Holiday weekend unless a pay row is settled, the GMB union said."
Lowe's 2Q Earnings Higher on Home Market (AP),"AP - Home improvement retailer Lowe's Cos. reported Monday that a robust housing market drove second-quarter earnings higher year-over-year, but results failed to meet Wall Street expectations."
Sri Lanka hit by oil strike,"Workers at Sri Lanka's main oil company end a two-day strike, held in protest at government plans to sell more of the company."
Cost Cuts Boost Kmart Quarterly Profit (Reuters),"Reuters - Kmart Holding Corp. (KMRT.O) on Monday\reported its third consecutive quarterly profit as cost cuts\made up for slumping sales, and its cash pile grew to about\ #36;2.6 billion."
Cost Cuts Boost Kmart Quarterly Profit," CHICAGO (Reuters) - Kmart Holding Corp. &lt;KMRT.O&gt; on Monday  reported its third consecutive quarterly profit as cost cuts  made up for slumping sales, and its cash pile grew to about  \$2.6 billion."
Wall Street to Open Little Changed," NEW YORK (Reuters) - Wall Street is seen opening little  changed on Monday as crude prices remain high, but insurers may  dip on worries about their potential liabilities after a  hurricane struck Florida on Friday."
Sysco Profit Rises; Sales Have Slowed," NEW YORK (Reuters) - Sysco Corp. &lt;SYY.N&gt;, the largest U.S.  distributor of food to restaurants and hospitals, on Monday  said quarterly profit rose as an extra week in the period and  acquisitions helped offset the effects of higher food prices."
Lowe's Profit Rises But Trails Estimates," ATLANTA (Reuters) - Lowe's Cos. &lt;LOW.N&gt;, the No. 2 home  improvement retailer behind Home Depot Inc., on Monday reported  an 18 percent increase in second-quarter profit, but results  trailed estimates as sales weakened in June."
Kmart Swings to Second-Quarter Profit (AP),"AP - Discount retailer Kmart Holding Corp. reported Monday that the company swung to a profit in the second quarter, but same-store sales were still in decline."
Wal-Mart Maintains August Sales Forecast (Reuters),"Reuters - Wal-Mart Stores Inc. (WMT.N) on Monday\maintained its August sales forecast and said demand was\particularly strong in the U.S. Southeast last week as people\stocked up on duct tape, rope and water in preparation for\Hurricane Charley."
Cost Cuts Help Kmart Post Profit," CHICAGO (Reuters) - Kmart Holding Corp. &lt;KMRT.O&gt; on Monday  reported its third consecutive quarterly profit as cost cuts  made up for slumping sales, and its cash pile grew to about  \$2.6 billion."
Allstate Says Charley Could Hurt Results," NEW YORK (Reuters) - Allstate Corp. &lt;ALL.N&gt;, the No. 2 U.S.  home and auto insurer, on Monday said potential losses stemming  from Hurricane Charley could hurt its current results."
Hungarian central bank cuts key interest rate by half percentage point (AFP),"AFP - The Hungarian central bank cut its benchmark interest rate by 50 basis points from 11.5 percent to 11.0 percent, the bank said in a statement posted on its website."
CompUSA Stores to Sell Gateway PCs (Reuters),"Reuters - Gateway Inc. (GTW.N), the computer\maker that recently shuttered its chain of 188 stores, will\begin selling its desktops at CompUSA Inc.'s outlets later this\week, the two companies said on Monday."
CompUSA Stores to Sell Gateway PCs," NEW YORK (Reuters) - Gateway Inc. &lt;GTW.N&gt;, the computer  maker that recently shuttered its chain of 188 stores, will  begin selling its desktops at CompUSA Inc.'s outlets later this  week, the two companies said on Monday."
Kmart Posts Profit After Cost Cuts," CHICAGO (Reuters) - Kmart Holding Corp. &lt;KMRT.O&gt; on Monday  reported its third consecutive quarterly profit despite  slumping sales as it cut jobs and reduced advertising and  discounts, boosting its cash pile to \$2.6 billion."
LifePoint in \$1.1 Billion Province Deal," NEW YORK (Reuters) - Rural hospital operator LifePoint  Hospitals Inc. &lt;LPNT.O&gt; has agreed to acquire rival Province  Healthcare Co. &lt;PRV.N&gt; for \$1.125 billion in cash and stock to  broaden its geographic reach, the companies said on Monday."
Stocks Set to Open Little Changed," NEW YORK (Reuters) - Wall Street is set to open little  changed on Monday as crude prices remain near their record  highs, but insurers may slip on worries about their potential  liabilities after a hurricane struck Florida on Friday."
Sysco Corp.'s 4Q Profit Up 16 Percent,"Sysco's fiscal fourth-quarter profit rose 16 percent due to an extra week in the quarter, customer-service initiatives and operating efficiency."
Stocks Open Near Flat as Oil Near Record," NEW YORK (Reuters) - U.S. stocks opened little changed on  Monday as crude prices remain near their record highs, but  early reports of victory for the Venezuelan president in a  referendum on his rule eased fears about the country's oil  exports."
Indonesia urges debt flexibility,"Indonesia calls on the International Monetary Fund to help reschedule its debts, as figures reveal a slowdown in economic growth."
Oil Holds Near Record Level,"Oil prices fell 23 cents to \$46.35 a barrel after Venezuelan Hugo Chavez won a recall referendum, appeasing worried energy markets."
Ride This Gem,"Amusement park operators have produced volatile results, but this company has stood the test of time."
Insurers Begin Tallying Charley Losses (Reuters),"Reuters - U.S. insurers on Monday predicted that\Hurricane Charley could be the most costly U.S. storm since\Andrew in 1992, with Florida officials initially estimating\economic losses at  #36;15 billion."
KMart Posts Profit; Cash Pile Grows," CHICAGO (Reuters) - Kmart Holding Corp. &lt;KMRT.O&gt; on Monday  reported its third consecutive quarterly profit despite  slumping sales as it cut jobs and reduced advertising and  discounts, boosting its cash pile to \$2.6 billion."
Thomson Buys Test Provider Capstar," TORONTO (Reuters) - Electronic publisher Thomson Corp.  &lt;TOC.TO&gt; said on Monday it will buy test provider Capstar from  Educational Testing Service, the latest in a string of  acquisitions designed to flesh out its product offerings."
Lowe's Reports Increase in Second-Quarter Net Income,"Lowe's reported a 17.9 percent increase in net income during its second quarter, but results missed Wall Street expectations."
"Lowe's Net Trails Views, But Shares Rise"," ATLANTA (Reuters) - Lowe's Cos. &lt;LOW.N&gt;, the No. 2 home  improvement retailer behind Home Depot Inc., on Monday reported  an 18 percent increase in second-quarter profit, but results  trailed estimates as sales weakened in June."
KMart Posts Profit; Cash Pile Grows (Reuters),"Reuters - Kmart Holding Corp. (KMRT.O) on Monday\reported its third consecutive quarterly profit despite\slumping sales as it cut jobs and reduced advertising and\discounts, boosting its cash pile to  #36;2.6 billion."
Oil Slips from Record High of \$46.30, LONDON (Reuters) - Oil prices eased from new record highs  on Monday as victory for Venezuelan President Hugo Chavez in a  referendum on his rule eased fears that unrest could upset the  country's oil exports.
Stocks Gain as Oil Prices Ease, NEW YORK (Reuters) - U.S. stocks gained on Monday as oil  prices dipped after reports of victory for the Venezuelan  president in a referendum on his rule eased fears about the  country's oil exports.
How to Hire a Financial Planner (The Motley Fool),"The Motley Fool - You've got a money question, and the guy in the next cubicle hasn't a clue how to answer. You need trustworthy information. But where to start?"
Daimler Nets \$900 Mln Via Hyundai Sale," LONDON/FRANKFURT (Reuters) - DaimlerChrysler said it raised  more than \$900 million by selling its 10.5 percent stake in  Hyundai Motor Co. Ltd. on Monday, a remnant of its dented  ambitions to build a global carmaking empire."
The Internet Is Calling,Web phone service is exploding. And maverick Jeffrey Citron lit the industry's fuse
A Stereo with a Brain,You can train Bose's new system to play songs you like. Is it worth the price?
The Sponsor Moves In,"The Days, owned by its advertisers, may boost ABC'S bottom line. But will they control content?"
Stocks Higher on Oil Price Relief," NEW YORK (Reuters) - U.S. stocks gained on Monday, getting  a boost from lower oil prices after news the Venezuelan  president survived a recall eased fears about the country's oil  exports."
Is 4Kids 4 Investors?,4Kids Entertainment got karate-chopped last week. Can it get back up off the mat?
Charley Sends Mobile Home Stocks Soaring," NEW YORK (Reuters) - Shares of mobile home manufacturers  soared on Monday on hopes of increased business after the  destruction Hurricane Charley wreaked in Florida over the  weekend, an analyst said."
